tech;category;level;month-year;change
Kotlin;language;adopt;11/2019;0
Kotest;framework;trial;11/2019;0
Python (Lambda);language;hold;06/2021;-1
Python (ML);language;hold;06/2021;1
Protocolo de Eventos;tools;adopt;11/2019;0
Redis;infra;adopt;11/2019;0
Spring Context;framework;adopt;11/2019;0
Spotinst;infra;adopt;11/2019;0
Ktor;framework;adopt;07/2020;0
Docker-Compose;infra;adopt;06/2021;1
Mockk;framework;trial;11/2019;0
Arrow;framework;hold;06/2021;-1
Datadog;tools;adopt;11/2019;0
DynamoDB;infra;hold;06/2021;-1
Appsync;infra;hold;07/2020;0
KotlinX Serialization;framework;assess;03/2020;0
Kotlinscript;framework;hold;11/2019;0
Mockito;framework;adopt;03/2020;0
Pippo;framework;adopt;03/2020;0
Grails;framework;hold;03/2020;0
Fuel;framework;adopt;07/2020;0
Caffeine;framework;adopt;07/2020;0
Coroutines;framework;trial;07/2020;0
Guava;framework;hold;07/2020;0
OkHttp;framework;hold;07/2020;0
Retrofit;framework;adopt;03/2020;0
Koin;framework;trial;07/2020;0
Exposed;framework;hold;07/2020;0
Spring JPA;framework;adopt;03/2020;0
JDBI;framework;adopt;03/2020;0
Groovy;language;hold;03/2020;0
Java;language;hold;03/2020;0
Scala;language;hold;03/2020;0
Go;language;hold;03/2020;0
TypeScript(lambda);language;adopt;06/2021;-1
KotlinJS;language;hold;06/2021;-1
ELK;tools;adopt;03/2020;0
Ktlint;tools;adopt;03/2020;0
Detekt;tools;adopt;07/2020;0
JSLint;tools;adopt;03/2020;0
RunScope;tools;adopt;03/2020;0
Pitest;tools;trial;03/2020;0
Clean architecture;tools;adopt;03/2020;0
OpsGenie;tools;hold;06/2021;-1
Squadcast;tools;adopt;06/2021;1
Jmeter;tools;adopt;03/2020;0
Gradle;tools;adopt;03/2020;0
Maven;tools;hold;03/2020;0
Jenkins;tools;adopt;03/2020;0
Terraform;infra;adopt;07/2020;0
AWS;infra;adopt;03/2020;0
SAM;infra;adopt;07/2020;0
GraphQL;tools;hold;03/2020;0
Postgres;infra;adopt;03/2020;0
MySQL;infra;adopt;03/2020;0
Kubernetes;infra;adopt;06/2021;1
Sonarqube;tools;adopt;06/2021;1
Gitlab CI;tools;hold;06/2021;-1
Gitlab Registry;tools;hold;06/2021;-1
Github Actions;tools;hold;06/2021;-1
Jprofiler;tools;adopt;07/2020;1
